date,runs,availability_pct,resp_ms_avg,resp_ms_max,ssl_days,ig_data_access_days,ig_api_up,places_total,places_missing_address_en,ga4_age_days,checks_failed,checks_warned
2026-08-12,8,100,213.1,776,67,89,1,24,2,125,0,22
2026-08-13,1,100,114.4,248,66,88,1,24,2,,0,2
2026-08-14,1,100,167.6,263,65,87,1,24,2,,0,2
2026-08-15,1,100,113.6,272,64,86,1,24,1,,0,2
2026-08-16,1,100,91.1,265,63,85,1,24,1,,0,3
2026-08-17,1,100,81.7,251,62,84,1,24,1,,0,3
2026-08-18,1,100,186.9,434,61,83,1,24,1,,0,2
2026-08-19,1,100,104.3,339,60,82,1,24,1,,0,2
2026-08-20,1,100,110.4,317,59,81,1,24,1,,0,2
2026-08-21,1,100,148.3,362,58,80,1,24,1,,0,2
2026-08-22,1,100,129,383,57,79,1,24,1,,0,2
2026-08-23,1,100,123.1,318,56,78,1,24,1,,0,2
2026-08-24,1,100,175.3,536,55,77,1,24,1,,0,2
2026-08-25,1,100,138.4,368,54,76,1,24,1,,0,2
2026-08-26,1,100,134,315,53,75,1,24,1,,0,2
2026-08-28,1,100,166.7,358,52,74,1,24,1,,0,2
2026-08-29,2,100,132.1,474,50,72,1,24,1,,0,4
2026-08-30,1,100,97.9,274,49,71,1,24,1,,0,2
2026-08-31,1,100,286.6,618,48,70,1,24,1,,0,2
2026-09-01,1,100,135,344,47,69,1,24,1,,0,2
2026-09-02,1,100,266.9,656,46,68,1,24,1,,0,3
2026-09-03,1,100,158,424,45,67,1,24,1,,0,3
2026-09-04,1,100,132.3,306,44,66,1,24,1,,0,3
2026-09-05,1,100,104.7,317,43,65,1,24,1,,0,3
2026-09-06,1,100,116.3,373,42,64,1,24,1,,0,3
